20:04:25.772 [INFO] (trainer.py:174) Episode = 88, T_Steps = 14379, E_Steps = 157, R =  1.9272, succ =  0.5000, FPS = 14.15
20:04:38.053 [INFO] (trainer.py:174) Episode = 89, T_Steps = 14553, E_Steps = 174, R =  1.9036, succ =  0.5000, FPS = 14.17
20:04:50.770 [INFO] (trainer.py:174) Episode = 90, T_Steps = 14734, E_Steps = 181, R =  2.0036, succ =  0.5500, FPS = 14.23
20:04:57.968 [INFO] (trainer.py:174) Episode = 91, T_Steps = 14830, E_Steps = 96, R = -0.5397, succ =  0.5500, FPS = 13.34
20:05:10.342 [INFO] (trainer.py:174) Episode = 92, T_Steps = 15007, E_Steps = 177, R = -0.0694, succ =  0.5000, FPS = 14.30
20:05:23.124 [INFO] (trainer.py:174) Episode = 93, T_Steps = 15189, E_Steps = 182, R =  2.0145, succ =  0.5000, FPS = 14.24
20:05:36.176 [INFO] (trainer.py:174) Episode = 94, T_Steps = 15375, E_Steps = 186, R =  2.0306, succ =  0.5500, FPS = 14.25
20:05:48.300 [INFO] (trainer.py:174) Episode = 95, T_Steps = 15548, E_Steps = 173, R =  1.9831, succ =  0.5500, FPS = 14.27
20:06:01.044 [INFO] (trainer.py:174) Episode = 96, T_Steps = 15731, E_Steps = 183, R =  2.0231, succ =  0.5500, FPS = 14.36
20:07:00.465 [INFO] (trainer.py:174) Episode = 97, T_Steps = 16630, E_Steps = 899, R =  2.7237, succ =  0.5000, FPS = 15.13
20:07:15.269 [INFO] (trainer.py:174) Episode = 98, T_Steps = 16843, E_Steps = 213, R =  1.9038, succ =  0.5500, FPS = 14.39
20:07:27.986 [INFO] (trainer.py:174) Episode = 99, T_Steps = 17023, E_Steps = 180, R =  1.9003, succ =  0.6000, FPS = 14.16
20:07:44.448 [INFO] (trainer.py:174) Episode = 100, T_Steps = 17261, E_Steps = 238, R = -0.1211, succ =  0.6000, FPS = 14.46
20:07:52.143 [INFO] (trainer.py:174) Episode = 101, T_Steps = 17365, E_Steps = 104, R = -0.4833, succ =  0.6000, FPS = 13.52
20:08:25.142 [INFO] (trainer.py:174) Episode = 102, T_Steps = 17865, E_Steps = 500, R =  0.9038, succ =  0.6000, FPS = 15.15
20:08:33.140 [INFO] (trainer.py:174) Episode = 103, T_Steps = 17975, E_Steps = 110, R = -0.6457, succ =  0.6000, FPS = 13.75
20:08:49.206 [INFO] (trainer.py:174) Episode = 104, T_Steps = 18208, E_Steps = 233, R = -0.1110, succ =  0.6000, FPS = 14.50
20:09:01.947 [INFO] (trainer.py:174) Episode = 105, T_Steps = 18392, E_Steps = 184, R = -0.0265, succ =  0.5500, FPS = 14.44
20:09:14.483 [INFO] (trainer.py:174) Episode = 106, T_Steps = 18570, E_Steps = 178, R =  1.8838, succ =  0.5500, FPS = 14.20
20:09:25.835 [INFO] (trainer.py:174) Episode = 107, T_Steps = 18732, E_Steps = 162, R = -0.0108, succ =  0.5000, FPS = 14.27
20:09:42.070 [INFO] (trainer.py:174) Episode = 108, T_Steps = 18968, E_Steps = 236, R = -0.0698, succ =  0.4500, FPS = 14.54
20:09:55.006 [INFO] (trainer.py:174) Episode = 109, T_Steps = 19151, E_Steps = 183, R =  1.9378, succ =  0.4500, FPS = 14.15
20:10:06.495 [INFO] (trainer.py:174) Episode = 110, T_Steps = 19309, E_Steps = 158, R = -0.2655, succ =  0.4000, FPS = 13.75
20:10:22.557 [INFO] (trainer.py:174) Episode = 111, T_Steps = 19540, E_Steps = 231, R =  1.8641, succ =  0.4500, FPS = 14.38
20:10:32.908 [INFO] (trainer.py:174) Episode = 112, T_Steps = 19686, E_Steps = 146, R =  1.8723, succ =  0.5000, FPS = 14.11
20:10:39.535 [INFO] (trainer.py:174) Episode = 113, T_Steps = 19774, E_Steps = 88, R = -0.7189, succ =  0.4500, FPS = 13.28
20:10:53.367 [INFO] (trainer.py:174) Episode = 114, T_Steps = 19971, E_Steps = 197, R =  1.8716, succ =  0.4500, FPS = 14.24
20:11:04.575 [INFO] (trainer.py:174) Episode = 115, T_Steps = 20130, E_Steps = 159, R =  1.9185, succ =  0.4500, FPS = 14.19
20:11:16.565 [INFO] (trainer.py:174) Episode = 116, T_Steps = 20300, E_Steps = 170, R = -0.0504, succ =  0.4000, FPS = 14.18
20:11:28.454 [INFO] (trainer.py:174) Episode = 117, T_Steps = 20469, E_Steps = 169, R =  1.9463, succ =  0.4500, FPS = 14.22
