11:04:14.408 [INFO] (trainer.py:174) Episode = 66, T_Steps = 24838, E_Steps = 540, R = -0.6577, succ =  0.4000, FPS =  8.42
11:05:07.933 [INFO] (trainer.py:174) Episode = 67, T_Steps = 25282, E_Steps = 444, R = -0.7196, succ =  0.3500, FPS =  8.30
11:05:48.392 [INFO] (trainer.py:174) Episode = 68, T_Steps = 25636, E_Steps = 354, R = -0.7747, succ =  0.3500, FPS =  8.75
11:07:07.553 [INFO] (trainer.py:174) Episode = 69, T_Steps = 26343, E_Steps = 707, R =  1.4571, succ =  0.4000, FPS =  8.93
11:08:03.885 [INFO] (trainer.py:174) Episode = 70, T_Steps = 26822, E_Steps = 479, R = -0.6977, succ =  0.4000, FPS =  8.50
11:09:22.034 [INFO] (trainer.py:174) Episode = 71, T_Steps = 27506, E_Steps = 684, R =  1.4381, succ =  0.4500, FPS =  8.75
11:10:41.369 [INFO] (trainer.py:174) Episode = 72, T_Steps = 28197, E_Steps = 691, R =  1.4415, succ =  0.4500, FPS =  8.71
11:10:47.004 [INFO] (trainer.py:174) Episode = 73, T_Steps = 28234, E_Steps = 37, R = -0.9760, succ =  0.4500, FPS =  6.57
11:11:24.996 [INFO] (trainer.py:174) Episode = 74, T_Steps = 28535, E_Steps = 301, R = -0.8083, succ =  0.4500, FPS =  7.92
11:12:16.589 [INFO] (trainer.py:174) Episode = 75, T_Steps = 28990, E_Steps = 455, R = -0.7115, succ =  0.4500, FPS =  8.82
11:13:32.533 [INFO] (trainer.py:174) Episode = 76, T_Steps = 29668, E_Steps = 678, R =  1.4343, succ =  0.5000, FPS =  8.93
11:14:29.890 [INFO] (trainer.py:174) Episode = 77, T_Steps = 30161, E_Steps = 493, R = -0.6885, succ =  0.5000, FPS =  8.60
11:15:49.933 [INFO] (trainer.py:174) Episode = 78, T_Steps = 30849, E_Steps = 688, R =  1.4380, succ =  0.5000, FPS =  8.60
11:16:47.554 [INFO] (trainer.py:174) Episode = 79, T_Steps = 31356, E_Steps = 507, R = -0.6768, succ =  0.5000, FPS =  8.80
11:17:39.972 [INFO] (trainer.py:174) Episode = 80, T_Steps = 31811, E_Steps = 455, R = -0.7104, succ =  0.4500, FPS =  8.68
11:18:14.262 [INFO] (trainer.py:174) Episode = 81, T_Steps = 32096, E_Steps = 285, R = -0.8164, succ =  0.4000, FPS =  8.31
11:19:10.536 [INFO] (trainer.py:174) Episode = 82, T_Steps = 32564, E_Steps = 468, R = -0.7008, succ =  0.3500, FPS =  8.32
11:20:10.556 [INFO] (trainer.py:174) Episode = 83, T_Steps = 33102, E_Steps = 538, R = -0.6575, succ =  0.3000, FPS =  8.96
11:21:00.513 [INFO] (trainer.py:174) Episode = 84, T_Steps = 33525, E_Steps = 423, R = -0.7307, succ =  0.3000, FPS =  8.47
11:21:59.150 [INFO] (trainer.py:174) Episode = 85, T_Steps = 34022, E_Steps = 497, R = -0.6835, succ =  0.2500, FPS =  8.48
11:22:52.116 [INFO] (trainer.py:174) Episode = 86, T_Steps = 34478, E_Steps = 456, R = -0.7105, succ =  0.2500, FPS =  8.61
11:22:59.478 [INFO] (trainer.py:174) Episode = 87, T_Steps = 34514, E_Steps = 36, R = -0.9776, succ =  0.2500, FPS =  4.89
11:24:07.368 [INFO] (trainer.py:174) Episode = 88, T_Steps = 35182, E_Steps = 668, R = -0.5702, succ =  0.2500, FPS =  9.84
