00:03:54.173 [INFO] (trainer.py:174) Episode = 131, T_Steps = 22795, E_Steps = 141, R =  1.7810, succ =  0.8000, FPS = 14.10
00:04:05.008 [INFO] (trainer.py:174) Episode = 132, T_Steps = 22946, E_Steps = 151, R =  1.8078, succ =  0.8000, FPS = 13.94
00:04:16.118 [INFO] (trainer.py:174) Episode = 133, T_Steps = 23102, E_Steps = 156, R =  1.8445, succ =  0.8000, FPS = 14.04
00:04:26.682 [INFO] (trainer.py:174) Episode = 134, T_Steps = 23250, E_Steps = 148, R =  1.8148, succ =  0.8000, FPS = 14.01
00:04:37.181 [INFO] (trainer.py:174) Episode = 135, T_Steps = 23396, E_Steps = 146, R =  1.7862, succ =  0.8000, FPS = 13.91
00:04:43.949 [INFO] (trainer.py:174) Episode = 136, T_Steps = 23484, E_Steps = 88, R = -0.6088, succ =  0.7500, FPS = 13.01
00:04:54.408 [INFO] (trainer.py:174) Episode = 137, T_Steps = 23630, E_Steps = 146, R =  1.7974, succ =  0.8000, FPS = 13.96
00:05:05.839 [INFO] (trainer.py:174) Episode = 138, T_Steps = 23791, E_Steps = 161, R =  1.8469, succ =  0.8000, FPS = 14.08
00:05:10.104 [INFO] (trainer.py:174) Episode = 139, T_Steps = 23839, E_Steps = 48, R = -0.8115, succ =  0.7500, FPS = 11.26
00:05:21.216 [INFO] (trainer.py:174) Episode = 140, T_Steps = 23991, E_Steps = 152, R =  1.8211, succ =  0.7500, FPS = 13.68
00:05:28.214 [INFO] (trainer.py:174) Episode = 141, T_Steps = 24085, E_Steps = 94, R = -0.6725, succ =  0.7500, FPS = 13.44
00:05:39.220 [INFO] (trainer.py:174) Episode = 142, T_Steps = 24238, E_Steps = 153, R =  1.8077, succ =  0.7500, FPS = 13.90
00:05:50.993 [INFO] (trainer.py:174) Episode = 143, T_Steps = 24403, E_Steps = 165, R =  1.8051, succ =  0.7500, FPS = 14.02
00:05:58.417 [INFO] (trainer.py:174) Episode = 144, T_Steps = 24502, E_Steps = 99, R = -0.5702, succ =  0.7000, FPS = 13.34
00:06:08.599 [INFO] (trainer.py:174) Episode = 145, T_Steps = 24644, E_Steps = 142, R =  1.7859, succ =  0.7000, FPS = 13.95
00:06:20.212 [INFO] (trainer.py:174) Episode = 146, T_Steps = 24807, E_Steps = 163, R =  1.8314, succ =  0.7000, FPS = 14.04
00:06:31.413 [INFO] (trainer.py:174) Episode = 147, T_Steps = 24965, E_Steps = 158, R = -0.4201, succ =  0.7000, FPS = 14.11
00:06:42.628 [INFO] (trainer.py:174) Episode = 148, T_Steps = 25122, E_Steps = 157, R =  1.8469, succ =  0.7000, FPS = 14.00
00:06:54.278 [INFO] (trainer.py:174) Episode = 149, T_Steps = 25286, E_Steps = 164, R =  1.8445, succ =  0.7500, FPS = 14.08
00:07:05.992 [INFO] (trainer.py:174) Episode = 150, T_Steps = 25449, E_Steps = 163, R =  1.8401, succ =  0.7500, FPS = 13.92
00:07:15.605 [INFO] (trainer.py:174) Episode = 151, T_Steps = 25582, E_Steps = 133, R = -0.3818, succ =  0.7000, FPS = 13.84
00:07:26.655 [INFO] (trainer.py:174) Episode = 152, T_Steps = 25736, E_Steps = 154, R =  1.8007, succ =  0.7000, FPS = 13.94
00:07:36.774 [INFO] (trainer.py:174) Episode = 153, T_Steps = 25877, E_Steps = 141, R =  1.7725, succ =  0.7000, FPS = 13.94
00:07:47.354 [INFO] (trainer.py:174) Episode = 154, T_Steps = 26026, E_Steps = 149, R =  1.8115, succ =  0.7000, FPS = 14.09
00:07:59.019 [INFO] (trainer.py:174) Episode = 155, T_Steps = 26186, E_Steps = 160, R =  1.8451, succ =  0.7000, FPS = 13.72
00:08:11.240 [INFO] (trainer.py:174) Episode = 156, T_Steps = 26357, E_Steps = 171, R =  1.9100, succ =  0.7500, FPS = 13.99
00:08:21.264 [INFO] (trainer.py:174) Episode = 157, T_Steps = 26495, E_Steps = 138, R =  1.7558, succ =  0.7500, FPS = 13.77
00:08:34.233 [INFO] (trainer.py:174) Episode = 158, T_Steps = 26679, E_Steps = 184, R = -0.3059, succ =  0.7000, FPS = 14.19
00:08:45.331 [INFO] (trainer.py:174) Episode = 159, T_Steps = 26836, E_Steps = 157, R =  1.8515, succ =  0.7500, FPS = 14.15
00:08:56.889 [INFO] (trainer.py:174) Episode = 160, T_Steps = 26997, E_Steps = 161, R =  1.8497, succ =  0.7500, FPS = 13.93
00:09:08.085 [INFO] (trainer.py:174) Episode = 161, T_Steps = 27154, E_Steps = 157, R =  1.8257, succ =  0.8000, FPS = 14.02
00:09:15.772 [INFO] (trainer.py:174) Episode = 162, T_Steps = 27258, E_Steps = 104, R = -0.5373, succ =  0.7500, FPS = 13.53
00:09:26.985 [INFO] (trainer.py:174) Episode = 163, T_Steps = 27415, E_Steps = 157, R =  1.8298, succ =  0.7500, FPS = 14.00
00:09:38.069 [INFO] (trainer.py:174) Episode = 164, T_Steps = 27569, E_Steps = 154, R =  1.8091, succ =  0.8000, FPS = 13.89
00:09:48.497 [INFO] (trainer.py:174) Episode = 165, T_Steps = 27715, E_Steps = 146, R = -0.3278, succ =  0.7500, FPS = 14.00
00:09:51.723 [INFO] (trainer.py:174) Episode = 166, T_Steps = 27751, E_Steps = 36, R = -0.8527, succ =  0.7000, FPS = 11.16
00:10:00.114 [INFO] (trainer.py:174) Episode = 167, T_Steps = 27865, E_Steps = 114, R = -0.5058, succ =  0.7000, FPS = 13.59
00:10:10.794 [INFO] (trainer.py:174) Episode = 168, T_Steps = 28014, E_Steps = 149, R =  1.8086, succ =  0.7000, FPS = 13.95
00:10:22.330 [INFO] (trainer.py:174) Episode = 169, T_Steps = 28173, E_Steps = 159, R =  1.8478, succ =  0.7000, FPS = 13.78
00:10:34.270 [INFO] (trainer.py:174) Episode = 170, T_Steps = 28340, E_Steps = 167, R =  1.8718, succ =  0.7000, FPS = 13.99
00:10:43.563 [INFO] (trainer.py:174) Episode = 171, T_Steps = 28466, E_Steps = 126, R = -0.4512, succ =  0.7000, FPS = 13.56
00:10:56.155 [INFO] (trainer.py:174) Episode = 172, T_Steps = 28642, E_Steps = 176, R =  1.8767, succ =  0.7000, FPS = 13.98
00:11:07.260 [INFO] (trainer.py:174) Episode = 173, T_Steps = 28796, E_Steps = 154, R =  1.8159, succ =  0.7000, FPS = 13.87
00:11:19.353 [INFO] (trainer.py:174) Episode = 174, T_Steps = 28969, E_Steps = 173, R =  1.9078, succ =  0.7000, FPS = 14.31
00:11:32.893 [INFO] (trainer.py:174) Episode = 175, T_Steps = 29164, E_Steps = 195, R =  1.9907, succ =  0.7000, FPS = 14.40
00:11:34.513 [INFO] (trainer.py:174) Episode = 176, T_Steps = 29175, E_Steps = 11, R = -0.9214, succ =  0.6500, FPS =  6.80
00:11:36.404 [INFO] (trainer.py:174) Episode = 177, T_Steps = 29190, E_Steps = 15, R = -0.8988, succ =  0.6000, FPS =  7.94
00:11:49.017 [INFO] (trainer.py:174) Episode = 178, T_Steps = 29370, E_Steps = 180, R =  1.9300, succ =  0.6500, FPS = 14.27
00:11:50.739 [INFO] (trainer.py:174) Episode = 179, T_Steps = 29382, E_Steps = 12, R = -0.9146, succ =  0.6000, FPS =  6.98
00:12:01.186 [INFO] (trainer.py:174) Episode = 180, T_Steps = 29528, E_Steps = 146, R =  1.7864, succ =  0.6000, FPS = 13.98
00:12:12.682 [INFO] (trainer.py:174) Episode = 181, T_Steps = 29690, E_Steps = 162, R =  1.8566, succ =  0.6000, FPS = 14.09
00:12:23.717 [INFO] (trainer.py:174) Episode = 182, T_Steps = 29847, E_Steps = 157, R =  1.8453, succ =  0.6500, FPS = 14.23
