03:32:49.409 [INFO] (trainer.py:175) Episode = 72, T_Steps = 10912, E_Steps = 230, R =  1.7212, succ =  0.8500, FPS = 10.70
03:33:10.492 [INFO] (trainer.py:175) Episode = 73, T_Steps = 11138, E_Steps = 226, R =  1.6652, succ =  0.9000, FPS = 10.72
03:33:31.819 [INFO] (trainer.py:175) Episode = 74, T_Steps = 11366, E_Steps = 228, R =  1.7008, succ =  0.9000, FPS = 10.69
03:33:52.460 [INFO] (trainer.py:175) Episode = 75, T_Steps = 11585, E_Steps = 219, R =  1.7099, succ =  0.9000, FPS = 10.61
03:33:59.848 [INFO] (trainer.py:175) Episode = 76, T_Steps = 11665, E_Steps = 80, R = -0.7233, succ =  0.8500, FPS = 10.83
03:34:20.849 [INFO] (trainer.py:175) Episode = 77, T_Steps = 11890, E_Steps = 225, R =  1.7187, succ =  0.8500, FPS = 10.71
03:34:28.929 [INFO] (trainer.py:175) Episode = 78, T_Steps = 11977, E_Steps = 87, R = -0.7001, succ =  0.8000, FPS = 10.77
03:34:36.755 [INFO] (trainer.py:175) Episode = 79, T_Steps = 12063, E_Steps = 86, R = -0.6976, succ =  0.7500, FPS = 10.99
03:34:59.063 [INFO] (trainer.py:175) Episode = 80, T_Steps = 12300, E_Steps = 237, R =  1.7338, succ =  0.7500, FPS = 10.62
03:35:07.154 [INFO] (trainer.py:175) Episode = 81, T_Steps = 12388, E_Steps = 88, R = -0.7080, succ =  0.7000, FPS = 10.88
03:35:28.469 [INFO] (trainer.py:175) Episode = 82, T_Steps = 12616, E_Steps = 228, R =  1.6642, succ =  0.7000, FPS = 10.70
03:35:47.657 [INFO] (trainer.py:175) Episode = 83, T_Steps = 12823, E_Steps = 207, R =  1.7479, succ =  0.7000, FPS = 10.79
03:36:09.013 [INFO] (trainer.py:175) Episode = 84, T_Steps = 13053, E_Steps = 230, R =  1.7201, succ =  0.7500, FPS = 10.77
03:36:29.175 [INFO] (trainer.py:175) Episode = 85, T_Steps = 13269, E_Steps = 216, R =  1.6641, succ =  0.7500, FPS = 10.71
03:36:49.689 [INFO] (trainer.py:175) Episode = 86, T_Steps = 13487, E_Steps = 218, R =  1.7382, succ =  0.7500, FPS = 10.63
03:37:09.943 [INFO] (trainer.py:175) Episode = 87, T_Steps = 13704, E_Steps = 217, R =  1.7352, succ =  0.7500, FPS = 10.72
03:37:30.135 [INFO] (trainer.py:175) Episode = 88, T_Steps = 13928, E_Steps = 224, R =  1.7471, succ =  0.7500, FPS = 11.09
03:37:42.933 [INFO] (trainer.py:175) Episode = 89, T_Steps = 14066, E_Steps = 138, R = -0.4909, succ =  0.7000, FPS = 10.78
03:38:02.636 [INFO] (trainer.py:175) Episode = 90, T_Steps = 14279, E_Steps = 213, R =  1.7274, succ =  0.7500, FPS = 10.81
03:38:23.705 [INFO] (trainer.py:175) Episode = 91, T_Steps = 14504, E_Steps = 225, R =  1.7180, succ =  0.7500, FPS = 10.68
03:38:43.582 [INFO] (trainer.py:175) Episode = 92, T_Steps = 14715, E_Steps = 211, R =  1.6901, succ =  0.7500, FPS = 10.62
03:39:03.129 [INFO] (trainer.py:175) Episode = 93, T_Steps = 14926, E_Steps = 211, R =  1.7019, succ =  0.7500, FPS = 10.80
03:39:23.214 [INFO] (trainer.py:175) Episode = 94, T_Steps = 15143, E_Steps = 217, R =  1.7149, succ =  0.7500, FPS = 10.80
03:39:43.207 [INFO] (trainer.py:175) Episode = 95, T_Steps = 15359, E_Steps = 216, R =  1.7505, succ =  0.7500, FPS = 10.80
03:40:03.117 [INFO] (trainer.py:175) Episode = 96, T_Steps = 15573, E_Steps = 214, R =  1.7748, succ =  0.8000, FPS = 10.75
03:40:22.593 [INFO] (trainer.py:175) Episode = 97, T_Steps = 15783, E_Steps = 210, R =  1.7538, succ =  0.8000, FPS = 10.78
03:40:42.547 [INFO] (trainer.py:175) Episode = 98, T_Steps = 15998, E_Steps = 215, R =  1.7324, succ =  0.8500, FPS = 10.78
03:41:01.447 [INFO] (trainer.py:175) Episode = 99, T_Steps = 16202, E_Steps = 204, R =  1.6914, succ =  0.9000, FPS = 10.79
03:41:20.695 [INFO] (trainer.py:175) Episode = 100, T_Steps = 16410, E_Steps = 208, R =  1.7267, succ =  0.9000, FPS = 10.81
03:41:28.899 [INFO] (trainer.py:175) Episode = 101, T_Steps = 16496, E_Steps = 86, R = -0.6810, succ =  0.9000, FPS = 10.48
03:41:48.456 [INFO] (trainer.py:175) Episode = 102, T_Steps = 16708, E_Steps = 212, R =  1.7265, succ =  0.9000, FPS = 10.84
03:41:56.626 [INFO] (trainer.py:175) Episode = 103, T_Steps = 16796, E_Steps = 88, R = -0.6830, succ =  0.8500, FPS = 10.77
03:42:16.731 [INFO] (trainer.py:175) Episode = 104, T_Steps = 17012, E_Steps = 216, R =  1.7508, succ =  0.8500, FPS = 10.74
03:42:36.088 [INFO] (trainer.py:175) Episode = 105, T_Steps = 17219, E_Steps = 207, R =  1.7470, succ =  0.8500, FPS = 10.69
