21:54:09.270 [INFO] (trainer.py:174) Episode = 61, T_Steps = 10303, E_Steps = 162, R =  1.9270, succ =  0.7500, FPS = 13.91
21:54:21.518 [INFO] (trainer.py:174) Episode = 62, T_Steps = 10472, E_Steps = 169, R =  1.9172, succ =  0.7500, FPS = 13.80
21:54:32.992 [INFO] (trainer.py:174) Episode = 63, T_Steps = 10630, E_Steps = 158, R =  1.8739, succ =  0.7500, FPS = 13.77
21:54:44.723 [INFO] (trainer.py:174) Episode = 64, T_Steps = 10792, E_Steps = 162, R =  1.9105, succ =  0.7500, FPS = 13.81
21:54:55.828 [INFO] (trainer.py:174) Episode = 65, T_Steps = 10947, E_Steps = 155, R =  1.9247, succ =  0.7500, FPS = 13.96
21:54:59.165 [INFO] (trainer.py:174) Episode = 66, T_Steps = 10984, E_Steps = 37, R = -0.8449, succ =  0.7000, FPS = 11.09
21:55:11.631 [INFO] (trainer.py:174) Episode = 67, T_Steps = 11158, E_Steps = 174, R =  1.9057, succ =  0.7500, FPS = 13.96
21:55:14.611 [INFO] (trainer.py:174) Episode = 68, T_Steps = 11190, E_Steps = 32, R = -0.8597, succ =  0.7000, FPS = 10.74
21:55:26.906 [INFO] (trainer.py:174) Episode = 69, T_Steps = 11365, E_Steps = 175, R = -0.0100, succ =  0.6500, FPS = 14.24
21:55:38.755 [INFO] (trainer.py:174) Episode = 70, T_Steps = 11534, E_Steps = 169, R =  1.9457, succ =  0.7000, FPS = 14.26
21:55:48.512 [INFO] (trainer.py:174) Episode = 71, T_Steps = 11669, E_Steps = 135, R = -0.3640, succ =  0.7000, FPS = 13.84
21:55:59.716 [INFO] (trainer.py:174) Episode = 72, T_Steps = 11828, E_Steps = 159, R =  1.9378, succ =  0.7000, FPS = 14.19
21:56:12.066 [INFO] (trainer.py:174) Episode = 73, T_Steps = 12004, E_Steps = 176, R =  1.9390, succ =  0.7500, FPS = 14.25
21:56:22.747 [INFO] (trainer.py:174) Episode = 74, T_Steps = 12152, E_Steps = 148, R =  1.8296, succ =  0.7500, FPS = 13.86
21:56:36.572 [INFO] (trainer.py:174) Episode = 75, T_Steps = 12347, E_Steps = 195, R =  0.0784, succ =  0.7000, FPS = 14.11
21:56:49.683 [INFO] (trainer.py:174) Episode = 76, T_Steps = 12532, E_Steps = 185, R = -0.0162, succ =  0.6500, FPS = 14.11
21:57:00.682 [INFO] (trainer.py:174) Episode = 77, T_Steps = 12685, E_Steps = 153, R =  1.8701, succ =  0.6500, FPS = 13.91
21:57:08.605 [INFO] (trainer.py:174) Episode = 78, T_Steps = 12791, E_Steps = 106, R = -0.5706, succ =  0.6000, FPS = 13.38
21:57:18.573 [INFO] (trainer.py:174) Episode = 79, T_Steps = 12927, E_Steps = 136, R = -0.3268, succ =  0.6000, FPS = 13.65
21:57:30.225 [INFO] (trainer.py:174) Episode = 80, T_Steps = 13089, E_Steps = 162, R =  1.9154, succ =  0.6000, FPS = 13.90
21:57:40.782 [INFO] (trainer.py:174) Episode = 81, T_Steps = 13236, E_Steps = 147, R =  1.8406, succ =  0.6000, FPS = 13.93
21:57:52.519 [INFO] (trainer.py:174) Episode = 82, T_Steps = 13400, E_Steps = 164, R =  1.8935, succ =  0.6000, FPS = 13.97
21:58:03.600 [INFO] (trainer.py:174) Episode = 83, T_Steps = 13554, E_Steps = 154, R =  1.8207, succ =  0.6000, FPS = 13.90
21:58:11.095 [INFO] (trainer.py:174) Episode = 84, T_Steps = 13654, E_Steps = 100, R = -0.5315, succ =  0.5500, FPS = 13.35
21:58:15.876 [INFO] (trainer.py:174) Episode = 85, T_Steps = 13713, E_Steps = 59, R = -0.7816, succ =  0.5000, FPS = 12.34
21:58:26.456 [INFO] (trainer.py:174) Episode = 86, T_Steps = 13859, E_Steps = 146, R =  1.8292, succ =  0.5500, FPS = 13.80
21:58:37.336 [INFO] (trainer.py:174) Episode = 87, T_Steps = 14010, E_Steps = 151, R =  1.8407, succ =  0.5500, FPS = 13.88
21:58:45.461 [INFO] (trainer.py:174) Episode = 88, T_Steps = 14119, E_Steps = 109, R = -0.4762, succ =  0.5500, FPS = 13.42
21:58:56.806 [INFO] (trainer.py:174) Episode = 89, T_Steps = 14274, E_Steps = 155, R =  1.8364, succ =  0.6000, FPS = 13.66
21:59:08.997 [INFO] (trainer.py:174) Episode = 90, T_Steps = 14445, E_Steps = 171, R = -0.1172, succ =  0.5500, FPS = 14.03
21:59:18.676 [INFO] (trainer.py:174) Episode = 91, T_Steps = 14578, E_Steps = 133, R =  1.8166, succ =  0.6000, FPS = 13.74
21:59:28.973 [INFO] (trainer.py:174) Episode = 92, T_Steps = 14719, E_Steps = 141, R =  1.8490, succ =  0.6000, FPS = 13.69
21:59:41.095 [INFO] (trainer.py:174) Episode = 93, T_Steps = 14887, E_Steps = 168, R = -0.1786, succ =  0.5500, FPS = 13.86
21:59:54.839 [INFO] (trainer.py:174) Episode = 94, T_Steps = 15080, E_Steps = 193, R =  1.9057, succ =  0.5500, FPS = 14.04
22:00:06.303 [INFO] (trainer.py:174) Episode = 95, T_Steps = 15241, E_Steps = 161, R =  1.8733, succ =  0.6000, FPS = 14.05
22:00:19.858 [INFO] (trainer.py:174) Episode = 96, T_Steps = 15433, E_Steps = 192, R = -0.0077, succ =  0.6000, FPS = 14.17
22:00:30.383 [INFO] (trainer.py:174) Episode = 97, T_Steps = 15579, E_Steps = 146, R =  1.8134, succ =  0.6000, FPS = 13.87
22:00:33.905 [INFO] (trainer.py:174) Episode = 98, T_Steps = 15619, E_Steps = 40, R = -0.8140, succ =  0.6000, FPS = 11.36
22:00:46.123 [INFO] (trainer.py:174) Episode = 99, T_Steps = 15789, E_Steps = 170, R =  1.9105, succ =  0.6500, FPS = 13.92
22:00:55.528 [INFO] (trainer.py:174) Episode = 100, T_Steps = 15917, E_Steps = 128, R = -0.3011, succ =  0.6000, FPS = 13.61
22:01:12.818 [INFO] (trainer.py:174) Episode = 101, T_Steps = 16163, E_Steps = 246, R =  0.2701, succ =  0.5500, FPS = 14.23
22:01:23.600 [INFO] (trainer.py:174) Episode = 102, T_Steps = 16312, E_Steps = 149, R =  1.8350, succ =  0.5500, FPS = 13.82
22:01:34.548 [INFO] (trainer.py:174) Episode = 103, T_Steps = 16461, E_Steps = 149, R =  1.8504, succ =  0.5500, FPS = 13.61
22:01:45.032 [INFO] (trainer.py:174) Episode = 104, T_Steps = 16605, E_Steps = 144, R =  1.8300, succ =  0.6000, FPS = 13.74
22:01:57.864 [INFO] (trainer.py:174) Episode = 105, T_Steps = 16786, E_Steps = 181, R =  2.0059, succ =  0.6500, FPS = 14.11
22:02:09.812 [INFO] (trainer.py:174) Episode = 106, T_Steps = 16954, E_Steps = 168, R = -0.0831, succ =  0.6000, FPS = 14.06
22:02:26.808 [INFO] (trainer.py:174) Episode = 107, T_Steps = 17197, E_Steps = 243, R =  2.2025, succ =  0.6000, FPS = 14.30
22:02:29.498 [INFO] (trainer.py:174) Episode = 108, T_Steps = 17224, E_Steps = 27, R = -0.8680, succ =  0.6000, FPS = 10.04
22:02:42.706 [INFO] (trainer.py:174) Episode = 109, T_Steps = 17412, E_Steps = 188, R =  0.0348, succ =  0.5500, FPS = 14.24
22:02:56.510 [INFO] (trainer.py:174) Episode = 110, T_Steps = 17610, E_Steps = 198, R =  0.0680, succ =  0.5500, FPS = 14.34
22:03:06.976 [INFO] (trainer.py:174) Episode = 111, T_Steps = 17756, E_Steps = 146, R =  1.8311, succ =  0.5500, FPS = 13.95
22:03:20.758 [INFO] (trainer.py:174) Episode = 112, T_Steps = 17953, E_Steps = 197, R =  0.0462, succ =  0.5000, FPS = 14.30
22:03:32.991 [INFO] (trainer.py:174) Episode = 113, T_Steps = 18126, E_Steps = 173, R =  1.9346, succ =  0.5500, FPS = 14.14
22:03:46.938 [INFO] (trainer.py:174) Episode = 114, T_Steps = 18326, E_Steps = 200, R =  0.0776, succ =  0.5000, FPS = 14.34
22:03:59.733 [INFO] (trainer.py:174) Episode = 115, T_Steps = 18511, E_Steps = 185, R =  0.0023, succ =  0.4500, FPS = 14.46
22:04:15.135 [INFO] (trainer.py:174) Episode = 116, T_Steps = 18732, E_Steps = 221, R = -0.0036, succ =  0.4500, FPS = 14.35
22:04:24.846 [INFO] (trainer.py:174) Episode = 117, T_Steps = 18863, E_Steps = 131, R =  1.7986, succ =  0.4500, FPS = 13.49
22:04:38.638 [INFO] (trainer.py:174) Episode = 118, T_Steps = 19056, E_Steps = 193, R =  0.0789, succ =  0.4500, FPS = 14.00
22:04:41.774 [INFO] (trainer.py:174) Episode = 119, T_Steps = 19090, E_Steps = 34, R = -0.8462, succ =  0.4000, FPS = 10.84
22:04:56.296 [INFO] (trainer.py:174) Episode = 120, T_Steps = 19296, E_Steps = 206, R = -0.0060, succ =  0.4000, FPS = 14.19
22:05:12.168 [INFO] (trainer.py:174) Episode = 121, T_Steps = 19522, E_Steps = 226, R = -0.0266, succ =  0.4000, FPS = 14.24
22:05:21.996 [INFO] (trainer.py:174) Episode = 122, T_Steps = 19657, E_Steps = 135, R =  1.8089, succ =  0.4000, FPS = 13.74
22:05:25.492 [INFO] (trainer.py:174) Episode = 123, T_Steps = 19697, E_Steps = 40, R = -0.8296, succ =  0.3500, FPS = 11.44
22:05:39.668 [INFO] (trainer.py:174) Episode = 124, T_Steps = 19899, E_Steps = 202, R = -0.0455, succ =  0.3000, FPS = 14.25
22:05:43.671 [INFO] (trainer.py:174) Episode = 125, T_Steps = 19946, E_Steps = 47, R = -0.8157, succ =  0.2500, FPS = 11.74
22:05:53.625 [INFO] (trainer.py:174) Episode = 126, T_Steps = 20082, E_Steps = 136, R =  1.8153, succ =  0.3000, FPS = 13.66
22:06:05.757 [INFO] (trainer.py:174) Episode = 127, T_Steps = 20254, E_Steps = 172, R = -0.0679, succ =  0.2500, FPS = 14.18
22:06:18.481 [INFO] (trainer.py:174) Episode = 128, T_Steps = 20433, E_Steps = 179, R =  1.9670, succ =  0.3000, FPS = 14.07
22:06:31.788 [INFO] (trainer.py:174) Episode = 129, T_Steps = 20621, E_Steps = 188, R =  0.0183, succ =  0.3000, FPS = 14.13
22:06:36.950 [INFO] (trainer.py:174) Episode = 130, T_Steps = 20687, E_Steps = 66, R = -0.5708, succ =  0.3000, FPS = 12.79
22:06:46.936 [INFO] (trainer.py:174) Episode = 131, T_Steps = 20824, E_Steps = 137, R =  1.8636, succ =  0.3000, FPS = 13.72
22:06:54.919 [INFO] (trainer.py:174) Episode = 132, T_Steps = 20928, E_Steps = 104, R = -0.4214, succ =  0.3000, FPS = 13.03
22:07:06.425 [INFO] (trainer.py:174) Episode = 133, T_Steps = 21089, E_Steps = 161, R = -0.0174, succ =  0.2500, FPS = 13.99
22:07:19.406 [INFO] (trainer.py:174) Episode = 134, T_Steps = 21270, E_Steps = 181, R =  2.0305, succ =  0.3000, FPS = 13.94
22:07:32.606 [INFO] (trainer.py:174) Episode = 135, T_Steps = 21455, E_Steps = 185, R =  0.0701, succ =  0.3000, FPS = 14.02
22:07:47.488 [INFO] (trainer.py:174) Episode = 136, T_Steps = 21665, E_Steps = 210, R =  0.1514, succ =  0.3000, FPS = 14.11
22:08:00.098 [INFO] (trainer.py:174) Episode = 137, T_Steps = 21843, E_Steps = 178, R =  1.8989, succ =  0.3000, FPS = 14.12
22:08:03.568 [INFO] (trainer.py:174) Episode = 138, T_Steps = 21883, E_Steps = 40, R = -0.8240, succ =  0.3000, FPS = 11.53
22:08:13.538 [INFO] (trainer.py:174) Episode = 139, T_Steps = 22022, E_Steps = 139, R =  1.8544, succ =  0.3500, FPS = 13.94
22:08:23.648 [INFO] (trainer.py:174) Episode = 140, T_Steps = 22162, E_Steps = 140, R =  1.8230, succ =  0.4000, FPS = 13.85
22:08:27.999 [INFO] (trainer.py:174) Episode = 141, T_Steps = 22214, E_Steps = 52, R = -0.7767, succ =  0.4000, FPS = 11.95
22:08:31.406 [INFO] (trainer.py:174) Episode = 142, T_Steps = 22253, E_Steps = 39, R = -0.8364, succ =  0.3500, FPS = 11.45
22:08:40.885 [INFO] (trainer.py:174) Episode = 143, T_Steps = 22385, E_Steps = 132, R =  1.8009, succ =  0.4000, FPS = 13.93
22:08:49.483 [INFO] (trainer.py:174) Episode = 144, T_Steps = 22502, E_Steps = 117, R = -0.4205, succ =  0.4000, FPS = 13.61
22:08:59.295 [INFO] (trainer.py:174) Episode = 145, T_Steps = 22639, E_Steps = 137, R =  1.7796, succ =  0.4500, FPS = 13.96
22:09:09.723 [INFO] (trainer.py:174) Episode = 146, T_Steps = 22785, E_Steps = 146, R =  1.8363, succ =  0.4500, FPS = 14.00
22:09:19.924 [INFO] (trainer.py:174) Episode = 147, T_Steps = 22927, E_Steps = 142, R =  1.8408, succ =  0.5000, FPS = 13.92
22:09:32.562 [INFO] (trainer.py:174) Episode = 148, T_Steps = 23101, E_Steps = 174, R =  1.9766, succ =  0.5000, FPS = 13.77
22:09:40.610 [INFO] (trainer.py:174) Episode = 149, T_Steps = 23208, E_Steps = 107, R = -0.4153, succ =  0.5000, FPS = 13.30
22:09:54.008 [INFO] (trainer.py:174) Episode = 150, T_Steps = 23396, E_Steps = 188, R = -0.1884, succ =  0.5000, FPS = 14.03
22:09:57.225 [INFO] (trainer.py:174) Episode = 151, T_Steps = 23432, E_Steps = 36, R = -0.8537, succ =  0.4500, FPS = 11.20
22:10:07.672 [INFO] (trainer.py:174) Episode = 152, T_Steps = 23577, E_Steps = 145, R =  1.8558, succ =  0.5000, FPS = 13.88
22:10:17.751 [INFO] (trainer.py:174) Episode = 153, T_Steps = 23716, E_Steps = 139, R =  1.7916, succ =  0.5500, FPS = 13.79
22:10:25.715 [INFO] (trainer.py:174) Episode = 154, T_Steps = 23823, E_Steps = 107, R = -0.5096, succ =  0.5000, FPS = 13.44
22:10:36.564 [INFO] (trainer.py:174) Episode = 155, T_Steps = 23975, E_Steps = 152, R =  1.8633, succ =  0.5500, FPS = 14.01
22:10:46.596 [INFO] (trainer.py:174) Episode = 156, T_Steps = 24114, E_Steps = 139, R =  1.8024, succ =  0.6000, FPS = 13.86
22:10:58.533 [INFO] (trainer.py:174) Episode = 157, T_Steps = 24282, E_Steps = 168, R =  1.8716, succ =  0.6000, FPS = 14.08
