21:10:35.355 [INFO] (trainer.py:174) Episode = 115, T_Steps = 60384, E_Steps = 791, R =  1.5261, succ =  0.8000, FPS = 13.75
21:11:22.822 [INFO] (trainer.py:174) Episode = 116, T_Steps = 61041, E_Steps = 657, R =  1.4216, succ =  0.8000, FPS = 13.84
21:12:13.810 [INFO] (trainer.py:174) Episode = 117, T_Steps = 61744, E_Steps = 703, R =  1.4539, succ =  0.8000, FPS = 13.79
21:12:59.000 [INFO] (trainer.py:174) Episode = 118, T_Steps = 62369, E_Steps = 625, R = -0.6031, succ =  0.7500, FPS = 13.83
21:13:51.925 [INFO] (trainer.py:174) Episode = 119, T_Steps = 63094, E_Steps = 725, R =  1.4776, succ =  0.7500, FPS = 13.70
21:14:39.219 [INFO] (trainer.py:174) Episode = 120, T_Steps = 63765, E_Steps = 671, R =  1.4294, succ =  0.7500, FPS = 14.19
21:15:26.781 [INFO] (trainer.py:174) Episode = 121, T_Steps = 64438, E_Steps = 673, R =  1.4310, succ =  0.8000, FPS = 14.15
21:15:56.905 [INFO] (trainer.py:174) Episode = 122, T_Steps = 64850, E_Steps = 412, R = -0.7344, succ =  0.8000, FPS = 13.68
21:16:45.521 [INFO] (trainer.py:174) Episode = 123, T_Steps = 65533, E_Steps = 683, R =  1.4434, succ =  0.8000, FPS = 14.05
21:17:33.674 [INFO] (trainer.py:174) Episode = 124, T_Steps = 66208, E_Steps = 675, R =  1.4376, succ =  0.8000, FPS = 14.02
21:18:21.112 [INFO] (trainer.py:174) Episode = 125, T_Steps = 66876, E_Steps = 668, R =  1.4299, succ =  0.8500, FPS = 14.08
21:19:14.216 [INFO] (trainer.py:174) Episode = 126, T_Steps = 67618, E_Steps = 742, R =  1.4879, succ =  0.8500, FPS = 13.97
21:20:15.545 [INFO] (trainer.py:174) Episode = 127, T_Steps = 68462, E_Steps = 844, R =  1.5626, succ =  0.8500, FPS = 13.76
21:21:04.948 [INFO] (trainer.py:174) Episode = 128, T_Steps = 69143, E_Steps = 681, R =  1.4421, succ =  0.8500, FPS = 13.78
21:22:01.473 [INFO] (trainer.py:174) Episode = 129, T_Steps = 69920, E_Steps = 777, R =  1.5107, succ =  0.8500, FPS = 13.75
21:22:54.356 [INFO] (trainer.py:174) Episode = 130, T_Steps = 70649, E_Steps = 729, R =  1.4753, succ =  0.9000, FPS = 13.79
21:22:58.462 [INFO] (trainer.py:174) Episode = 131, T_Steps = 70684, E_Steps = 35, R = -0.9784, succ =  0.8500, FPS =  8.53
21:23:47.457 [INFO] (trainer.py:174) Episode = 132, T_Steps = 71370, E_Steps = 686, R =  1.4409, succ =  0.8500, FPS = 14.00
21:24:10.740 [INFO] (trainer.py:174) Episode = 133, T_Steps = 71681, E_Steps = 311, R = -0.8020, succ =  0.8000, FPS = 13.36
21:24:40.610 [INFO] (trainer.py:174) Episode = 134, T_Steps = 72074, E_Steps = 393, R = -0.7492, succ =  0.7500, FPS = 13.16
21:25:27.612 [INFO] (trainer.py:174) Episode = 135, T_Steps = 72737, E_Steps = 663, R =  1.4206, succ =  0.7500, FPS = 14.11
21:26:17.408 [INFO] (trainer.py:174) Episode = 136, T_Steps = 73426, E_Steps = 689, R =  1.4442, succ =  0.7500, FPS = 13.84
21:27:05.454 [INFO] (trainer.py:174) Episode = 137, T_Steps = 74088, E_Steps = 662, R =  1.4230, succ =  0.7500, FPS = 13.78
21:27:09.451 [INFO] (trainer.py:174) Episode = 138, T_Steps = 74122, E_Steps = 34, R = -0.9791, succ =  0.7500, FPS =  8.51
21:27:54.541 [INFO] (trainer.py:174) Episode = 139, T_Steps = 74752, E_Steps = 630, R = -0.5984, succ =  0.7000, FPS = 13.97
21:28:26.987 [INFO] (trainer.py:174) Episode = 140, T_Steps = 75191, E_Steps = 439, R = -0.7129, succ =  0.6500, FPS = 13.53
